PickNumber,Player,Team,Pos,Round,Drafter
2,Christian McCaffrey,Car,RB,1,William
15,Austin Ekeler,LAC,RB,2,William
18,Josh Jacobs,LV,RB,3,William
31,Allen Robinson,Chi,WR,4,William
34,Robert Woods,LAR,WR,5,William
47,Tyler Lockett,Sea,WR,6,William
50,Zach Ertz,Phi,TE,7,William
63,Nick Chubb,Cle,RB,8,William
66,Dak Prescott,Dal,QB,9,William
79,Ronald Jones II,TB,RB,10,William
82,Brandin Cooks,Hou,WR,11,William
95,Matt Breida,Mia,RB,12,William
98,Christian Kirk,Ari,WR,13,William
111,Kyler Murray,Ari,QB,14,William
114,Justin Tucker,Bal,K,15,William
127,LAR DST,LAR,D/ST,16,William
7,Alvin Kamara,NO,RB,1,Joe
10,Aaron Jones,GB,RB,2,Joe
23,JuJu Smith-Schuster,Pit,WR,3,Joe
26,Mike Evans,TB,WR,4,Joe
39,T.Y. Hilton,Ind,WR,5,Joe
42,Leonard Fournette,TB,RB,6,Joe
55,Odell Beckham Jr.,Cle,WR,7,Joe
58,Hunter Henry,LAC,TE,8,Joe
71,Deshaun Watson,Hou,QB,9,Joe
74,Marvin Jones,Det,WR,10,Joe
87,Deebo Samuel,SF,WR,11,Joe
90,Kerryon Johnson,Det,RB,12,Joe
103,SF DST,SF,D/ST,13,Joe
106,Aaron Rodgers,GB,QB,14,Joe
119,Robbie Gould,SF,K,15,Joe
122,Alexander Mattison,Min,RB,16,Joe
6,Derrick Henry,Ten,RB,1,Michael
11,Chris Godwin,TB,WR,2,Michael
22,Jonathan Taylor,Ind,RB,3,Michael
27,Amari Cooper,Dal,WR,4,Michael
38,Kenny Golladay,Det,WR,5,Michael
43,Rob Gronkowski,TB,TE,6,Michael
54,Julian Edelman,NE,WR,7,Michael
59,J.K. Dobbins,Bal,RB,8,Michael
70,Golden Tate,NYG,WR,9,Michael
75,Joe Burrow,Cin,QB,10,Michael
86,David Montgomery,Chi,RB,11,Michael
91,Jerry Jeudy,Den,WR,12,Michael
102,Alshon Jeffery,Phi,WR,13,Michael
107,BAL DST,BAL,D/ST,14,Michael
118,Cam Newton,NE,QB,15,Michael
123,Younghoe Koo,Atl,K,16,Michael
1,Patrick Mahomes,KC,QB,1,Kuuby
16,Travis Kelce,KC,TE,2,Kuuby
17,Sammy Watkins,KC,WR,3,Kuuby
32,Cooper Kupp,LAR,WR,4,Kuuby
33,David Johnson,Hou,RB,5,Kuuby
48,Keenan Allen,LAC,WR,6,Kuuby
49,MIN DST,MIN,D/ST,7,Kuuby
64,Chris Carson,Sea,RB,8,Kuuby
65,A.J. Brown,Ten,WR,9,Kuuby
80,Latavius Murray,NO,RB,10,Kuuby
81,Darius Slayton,NYG,WR,11,Kuuby
96,PIT DST,PIT,D/ST,12,Kuuby
97,Kyle Rudolph,Min,TE,13,Kuuby
112,LeSean McCoy,TB,RB,14,Kuuby
113,Tom Brady,TB,QB,15,Kuuby
128,Brandon McManus,Den,K,16,Kuuby
8,Dalvin Cook,Min,RB,1,Chris
9,Michael Thomas,NO,WR,2,Chris
24,Tyreek Hill,KC,WR,3,Chris
25,Miles Sanders,Phi,RB,4,Chris
40,D.J. Moore,Car,WR,5,Chris
41,Darren Waller,LV,TE,6,Chris
56,Calvin Ridley,Atl,WR,7,Chris
57,Mark Ingram II,Bal,RB,8,Chris
72,Terry McLaurin,Wsh,WR,9,Chris
73,Cam Akers,LAR,RB,10,Chris
88,Courtland Sutton,Den,WR,11,Chris
89,Jordan Howard,Mia,RB,12,Chris
104,Carson Wentz,Phi,QB,13,Chris
105,Matt Ryan,Atl,QB,14,Chris
120,Greg Zuerlein,Dal,K,15,Chris
121,BUF DST,BUF,D/ST,16,Chris
4,Ezekiel Elliott,Dal,RB,1,Jacob
13,Davante Adams,GB,WR,2,Jacob
20,DeAndre Hopkins,Ari,WR,3,Jacob
29,Melvin Gordon,Den,RB,4,Jacob
36,James Conner,Pit,RB,5,Jacob
45,Joe Mixon,Cin,RB,6,Jacob
52,Mark Andrews,Bal,TE,7,Jacob
61,Will Fuller,Hou,WR,8,Jacob
68,A.J. Green,Cin,WR,9,Jacob
77,Jarvis Landry,Cle,WR,10,Jacob
84,Marlon Mack,Ind,RB,11,Jacob
93,Tevin Coleman,SF,RB,12,Jacob
100,Drew Brees,NO,QB,13,Jacob
109,Josh Allen,Buf,QB,14,Jacob
116,CHI DST,CHI,D/ST,15,Jacob
125,Matt Gay,FA,K,16,Jacob
3,Saquon Barkley,NYG,RB,1,Evan
14,Julio Jones,Atl,WR,2,Evan
19,George Kittle,SF,TE,3,Evan
30,Lamar Jackson,Bal,QB,4,Evan
35,Kareem Hunt,Cle,RB,5,Evan
46,D.J. Chark,Jax,WR,6,Evan
51,Le'Veon Bell,NYJ,RB,7,Evan
62,Stefon Diggs,Buf,WR,8,Evan
67,Raheem Mostert,SF,RB,9,Evan
78,Devin Singletary,Buf,RB,10,Evan
83,DeVante Parker,Mia,WR,11,Evan
94,DeSean Jackson,Phi,WR,12,Evan
99,Anthony Miller,Chi,WR,13,Evan
110,Jamison Crowder,NYJ,WR,14,Evan
115,NE DST,NE,D/ST,15,Evan
126,Wil Lutz,NO,K,16,Evan
5,Clyde Edwards-Helaire,KC,RB,1,Andrew
12,Todd Gurley,Atl,RB,2,Andrew
21,Adam Thielen,Min,WR,3,Andrew
28,Russell Wilson,Sea,QB,4,Andrew
37,Kenyan Drake,Ari,RB,5,Andrew
44,Hayden Hurst,Atl,TE,6,Andrew
53,D.K. Metcalf,Sea,WR,7,Andrew
60,D'Andre Swift,Det,RB,8,Andrew
69,Marquise Brown,Bal,WR,9,Andrew
76,Henry Ruggs III,LV,WR,10,Andrew
85,KC DST,KC,D/ST,11,Andrew
92,Zack Moss,Buf,RB,12,Andrew
101,CeeDee Lamb,Dal,WR,13,Andrew
108,Ben Roethlisberger,Pit,QB,14,Andrew
117,Harrison Butker,KC,K,15,Andrew
124,Evan Engram,NYG,TE,16,Andrew
