"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Christian McCaffrey","CAR","RB1","13","1","4","1.1","0.3","1.0","0.0"
"2","1","","Saquon Barkley","NYG","RB2","11","1","6","2.2","0.7","2.0","0.0"
"3","1","","Ezekiel Elliott","DAL","RB3","10","2","14","3.4","1.3","3.0","0.0"
"4","1","","Alvin Kamara","NO","RB4","6","2","8","4.1","1.6","5.0","+1.0"
"5","1","","Michael Thomas","NO","WR1","6","3","13","5.8","1.6","6.0","+1.0"
"6","2","","Dalvin Cook","MIN","RB5","7","3","23","6.8","3.0","4.0","-2.0"
"7","2","","Davante Adams","GB","WR2","5","5","16","9.2","2.0","8.0","+1.0"
"8","2","","Derrick Henry","TEN","RB6","7","3","31","11.0","7.0","7.0","-1.0"
"9","2","","Clyde Edwards-Helaire","KC","RB7","10","4","28","11.3","5.8","17.0","+8.0"
"10","2","","Julio Jones","ATL","WR3","10","5","24","11.6","2.0","16.0","+6.0"
"11","2","","Tyreek Hill","KC","WR4","10","5","40","12.6","2.5","14.0","+3.0"
"12","2","","Austin Ekeler","LAC","RB8","10","4","51","13.5","7.0","15.0","+3.0"
"13","3","","Joe Mixon","CIN","RB9","9","4","31","15.2","6.6","9.0","-4.0"
"14","3","","DeAndre Hopkins","ARI","WR5","8","5","33","16.5","5.6","12.0","-2.0"
"15","3","","Miles Sanders","PHI","RB10","9","6","44","16.6","7.1","10.0","-5.0"
"16","3","","Chris Godwin","TB","WR6","13","11","48","16.9","5.4","21.0","+5.0"
"17","3","","Kenyan Drake","ARI","RB11","8","4","59","17.3","8.7","18.0","+1.0"
"18","3","","Travis Kelce","KC","TE1","10","9","38","17.4","1.5","20.0","+2.0"
"19","3","","George Kittle","SF","TE2","11","15","27","18.5","2.1","24.0","+5.0"
"20","3","","Josh Jacobs","LV","RB12","6","4","51","22.0","6.3","11.0","-9.0"
"21","3","","Allen Robinson","CHI","WR7","11","12","49","22.6","6.5","30.0","+9.0"
"22","3","","Kenny Golladay","DET","WR8","5","12","46","23.6","6.5","25.0","+3.0"
"23","4","","Aaron Jones","GB","RB13","5","8","58","23.9","7.3","19.0","-4.0"
"24","4","","Nick Chubb","CLE","RB14","9","6","51","24.9","5.4","13.0","-11.0"
"25","4","","Patrick Mahomes","KC","QB1","10","19","54","27.7","9.0","22.0","-3.0"
"26","4","","D.J. Moore","CAR","WR9","13","11","64","27.8","7.4","27.0","+1.0"
"27","4","","Mike Evans","TB","WR10","13","12","55","29.3","7.5","26.0","-1.0"
"28","4","","JuJu Smith-Schuster","PIT","WR11","8","9","75","29.4","7.8","33.0","+5.0"
"29","4","","Adam Thielen","MIN","WR12","7","13","64","30.3","7.7","32.0","+3.0"
"30","4","","Lamar Jackson","BAL","QB2","8","6","68","32.1","10.2","23.0","-7.0"
"31","4","","Odell Beckham Jr.","CLE","WR13","9","13","67","33.3","8.0","28.0","-3.0"
"32","4","","Robert Woods","LAR","WR14","9","15","67","33.8","8.6","46.0","+14.0"
"33","4","","Amari Cooper","DAL","WR15","10","15","51","34.4","6.8","34.0","+1.0"
"34","4","","Cooper Kupp","LAR","WR16","9","15","81","35.9","9.2","35.0","+1.0"
"35","5","","Mark Andrews","BAL","TE3","8","18","63","36.5","12.3","42.0","+7.0"
"36","5","","Calvin Ridley","ATL","WR17","10","15","88","36.9","8.0","43.0","+7.0"
"37","5","","James Conner","PIT","RB15","8","8","89","38.7","9.9","39.0","+2.0"
"38","5","","Todd Gurley","ATL","RB16","10","9","75","38.8","10.3","29.0","-9.0"
"39","5","","Chris Carson","SEA","RB17","6","20","69","39.2","8.5","31.0","-8.0"
"40","5","","Zach Ertz","PHI","TE4","9","26","63","40.5","9.3","38.0","-2.0"
"41","5","","A.J. Brown","TEN","WR18","7","21","72","40.9","7.4","41.0","0.0"
"42","5","","D.J. Chark","JAC","WR19","7","16","113","43.0","8.9","54.0","+12.0"
"43","5","","Terry McLaurin","WAS","WR20","8","13","73","43.8","9.6","59.0","+16.0"
"44","5","","Le'Veon Bell","NYJ","RB18","11","11","76","45.4","11.9","37.0","-7.0"
"45","5","","Tyler Lockett","SEA","WR21","6","24","74","45.8","8.2","50.0","+5.0"
"46","5","","Keenan Allen","LAC","WR22","10","21","75","46.0","9.6","47.0","+1.0"
"47","5","","Melvin Gordon","DEN","RB19","8","14","85","46.6","10.6","40.0","-7.0"
"48","5","","David Johnson","HOU","RB20","8","23","83","47.0","11.9","36.0","-12.0"
