PickNumber, Player, Drafter, Round
1, Josh Allen, Evan, 1
16, Cooper Kupp, Evan, 2
17, Dak Prescott, Evan, 3
32, Deebo Samuel, Evan, 4
33, CeeDee Lamb, Evan, 5
48, Russell Wilson, Evan, 6
49, Alvin Kamara, Evan, 7
64, Javonte Williams, Evan, 8
65, James Conner, Evan, 9
80, Kareem Hunt, Evan, 10
81, Noah Fant, Evan, 11
96, Amon-Ra St. Brown, Evan, 12
97, Alexander Mattison, Evan, 13
112, Gabe Davis, Evan, 14
113, Gerald Everett, Evan, 15
128, Rhamondre Stevenson, Evan, 16
129, Drake London, Evan, 17
144, Antoine Winfield Jr., Evan, 18
145, 49ers D/ST, Evan, 19
160, Wil Lutz, Evan, 20
6, Dalvin Cook, Andrew, 1
11, Davante Adams, Andrew, 2
22, Aaron Rodgers, Andrew, 3
27, Tyreek Hill, Andrew, 4
38, Leonard Fournette, Andrew, 5
43, Allen Robinson II, Andrew, 6
54, Tee Higgins, Andrew, 7
59, Kirk Cousins, Andrew, 8
70, Zach Ertz, Andrew, 9
75, Miles Sanders, Andrew, 10
86, Allen Lazard, Andrew, 11
91, Marquise Brown, Andrew, 12
102, Cordarrelle Patterson, Andrew, 13
107, Chase Edmonds, Andrew, 14
118, Harrison Smith, Andrew, 15
123, DeVante Parker, Andrew, 16
134, Rams D/ST, Andrew, 17
139, Harrison Butker, Andrew, 18
150, Tyler Boyd, Andrew, 19
155, Dallas Goedert, Andrew, 20
3, Patrick Mahomes, Jacob, 1
14, Justin Jefferson, Jacob, 2
19, Cam Akers, Jacob, 3
30, Aaron Jones, Jacob, 4
35, Keenan Allen, Jacob, 5
46, Josh Jacobs, Jacob, 6
51, George Kittle, Jacob, 7
62, David Montgomery, Jacob, 8
67, Jameis Winston, Jacob, 9
78, Jerry Jeudy, Jacob, 10
83, Derek Carr, Jacob, 11
94, Darren Waller, Jacob, 12
99, Tony Pollard, Jacob, 13
110, James Cook, Jacob, 14
115, Kadarius Toney, Jacob, 15
126, Robert Woods, Jacob, 16
131, Marquez Valdes-Scantling, Jacob, 17
142, "Za'Darius Smith", Jacob, 18
147, Robbie Gould, Jacob, 19
158, Patriots D/ST, Jacob, 20
7, Christian McCaffrey, Chris, 1
10, Kyler Murray, Chris, 2
23, Jalen Hurts, Chris, 3
26, Joe Mixon, Chris, 4
39, Brandin Cooks, Chris, 5
42, Breece Hall, Chris, 6
55, Michael Pittman Jr., Chris, 7
58, Ezekiel Elliott, Chris, 8
71, Courtland Sutton, Chris, 9
74, Rashod Bateman, Chris, 10
87, Kyle Pitts, Chris, 11
90, Elijah Moore, Chris, 12
103, Darnell Mooney, Chris, 13
106, Elijah Mitchell, Chris, 14
119, Daniel Jones, Chris, 15
122, Dalton Schultz, Chris, 16
135, T.J. Watt, Chris, 17
138, Dameon Pierce, Chris, 18
151, Colts D/ST, Chris, 19
154, Mason Crosby, Chris, 20
5, JuJu Smith-Schuster, Kuuuby, 1
12, Najee Harris, Kuuuby, 2
21, Tom Brady, Kuuuby, 3
28, Mike Williams, Kuuuby, 4
37, Adam Thielen, Kuuuby, 5
44, Aaron Donald, Kuuuby, 6
53, Austin Hooper, Kuuuby, 7
60, Chargers D/ST, Kuuuby, 8
69, Melvin Gordon III, Kuuuby, 9
76, Sammy Watkins, Kuuuby, 10
85, Julio Jones, Kuuuby, 11
92, Brandon McManus, Kuuuby, 12
101, Devin Singletary, Kuuuby, 13
108, Ryan Tannehill, Kuuuby, 14
117, Jarvis Landry, Kuuuby, 15
124, Kyle Rudolph, Kuuuby, 16
133, Cardinals D/ST, Kuuuby, 17
140, Tyler Bass, Kuuuby, 18
149, Joey Bosa, Kuuuby, 19
156, Myles Gaskin, Kuuuby, 20
4, Joe Burrow, Michael, 1
13, Derrick Henry, Michael, 2
20, Matthew Stafford, Michael, 3
29, Saquon Barkley, Michael, 4
36, Mark Andrews, Michael, 5
45, Chris Godwin, Michael, 6
52, Terry McLaurin, Michael, 7
61, J.K. Dobbins, Michael, 8
68, DeAndre Hopkins, Michael, 9
77, Jaylen Waddle, Michael, 10
84, Rondale Moore, Michael, 11
93, DeVonta Smith, Michael, 12
100, Kenneth Walker III, Michael, 13
109, Tua Tagovailoa, Michael, 14
