Rank,Pos,Player,Team
1, QB, Josh Allen, BUF
2, QB, Patrick Mahomes, KC
3, QB, Justin Herbert, LAC
4, RB, Jonathan Taylor, IND
5, QB, Lamar Jackson, BAL
6, RB, Christian McCaffrey, CAR
7, QB, Kyler Murray, ARI
8, WR, Cooper Kupp, LAR
9, QB, Jalen Hurts, PHI
10, RB, Austin Ekeler, LAC
11, QB, Dak Prescott, DAL
12, WR, Justin Jefferson, MIN
13, WR, Ja'Marr Chase, CIN
14, RB, Derrick Henry, TEN
15, RB, Najee Harris, PIT
16, QB, Tom Brady, TB
17, QB, Aaron Rodgers, GB
18, RB, Dalvin Cook, MIN
19, RB, Alvin Kamara, NO
20, QB, Russell Wilson, DEN
21, WR, Davante Adams, LV
22, WR, Deebo Samuel, SF
23, WR, Stefon Diggs, BUF
24, QB, Joe Burrow, CIN
25, QB, Matthew Stafford, LAR
26, RB, Joe Mixon, CIN
27, RB, D'Andre Swift, DET
28, WR, CeeDee Lamb, DAL
29, WR, Tyreek Hill, MIA
30, RB, Leonard Fournette, TB
31, TE, Mark Andrews, BAL
32, RB, Javonte Williams, DEN
33, TE, Travis Kelce, KC
34, RB, James Conner, ARI
35, RB, Aaron Jones, GB
36, WR, Keenan Allen, LAC
37, QB, Trey Lance, SF
38, WR, Tee Higgins, CIN
39, WR, Mike Evans, TB
40, WR, DJ Moore, CAR
41, RB, Saquon Barkley, NYG
42, RB, Cam Akers, LAR
43, WR, Michael Pittman Jr., IND
44, WR, A.J. Brown, PHI
45, WR, Terry McLaurin, WAS
46, QB, Derek Carr, LV
47, QB, Kirk Cousins, MIN
48, RB, Nick Chubb, CLE
49, WR, Diontae Johnson, PIT
50, WR, Jaylen Waddle, MIA
51, WR, Mike Williams, LAC
52, WR, Brandin Cooks, HOU
53, TE, Kyle Pitts, ATL
54, RB, David Montgomery, CHI
55, RB, Ezekiel Elliott, DAL
56, RB, Travis Etienne Jr., JAC
57, RB, Breece Hall, NYJ
58, WR, Marquise Brown, ARI
59, WR, DK Metcalf, SEA
60, QB, Trevor Lawrence, JAC
61, QB, Tua Tagovailoa, MIA
62, WR, Jerry Jeudy, DEN
63, WR, Courtland Sutton, DEN
64, RB, J.K. Dobbins, BAL
65, WR, Chris Godwin, TB
66, WR, Amon-Ra St. Brown, DET
67, WR, Darnell Mooney, CHI
68, WR, Gabe Davis, BUF
69, RB, Josh Jacobs, LV
70, RB, Elijah Mitchell, SF
71, RB, Clyde Edwards-Helaire, KC
72, RB, Devin Singletary, BUF
73, RB, Miles Sanders, PHI
74, TE, Darren Waller, LV
75, TE, George Kittle, SF
76, WR, Amari Cooper, CLE
77, WR, Michael Thomas, NO
78, WR, Allen Robinson II, LAR
79, QB, Justin Fields, CHI
80, QB, Daniel Jones, NYG
81, QB, Jameis Winston, NO
82, WR, Christian Kirk, JAC
83, WR, Hunter Renfrow, LV
84, WR, JuJu Smith-Schuster, KC
85, WR, Adam Thielen, MIN
86, WR, Rashod Bateman, BAL
87, WR, Drake London, ATL
88, WR, Elijah Moore, NYJ
89, WR, Tyler Lockett, SEA
90, WR, DeVonta Smith, PHI
91, TE, Dalton Schultz, DAL
92, TE, T.J. Hockenson, DET
93, RB, Dameon Pierce, HOU
94, RB, Kareem Hunt, CLE
95, RB, Rhamondre Stevenson, NE
96, RB, Damien Harris, NE
97, RB, Chase Edmonds, MIA
98, RB, Antonio Gibson, WAS
99, RB, Cordarrelle Patterson, ATL
100, RB, Tony Pollard, DAL
101, TE, Dallas Goedert, PHI
102, TE, Zach Ertz, ARI
103, WR, Kadarius Toney, NYG
104, QB, Carson Wentz, WAS
105, QB, Zach Wilson, NYJ
106, QB, Ryan Tannehill, TEN
107, QB, Matt Ryan, IND
108, WR, Brandon Aiyuk, SF
109, WR, Allen Lazard, GB
110, WR, Robert Woods, TEN
111, WR, DeAndre Hopkins, ARI
112, WR, Garrett Wilson, NYJ
113, WR, Chris Olave, NO
114, WR, Chase Claypool, PIT
115, RB, AJ Dillon, GB
116, RB, Rashaad Penny, SEA
117, QB, Mac Jones, NE
118, QB, Jared Goff, DET
119, QB, Deshaun Watson, CLE
120, RB, James Robinson, JAC
121, RB, Michael Carter, NYJ
122, RB, Melvin Gordon III, DEN
123, TE, Pat Freiermuth, PIT
124, TE, Cole Kmet, CHI
125, WR, Jakobi Meyers, NE
126, WR, Russell Gage, TB
127, WR, Marquez Valdes-Scantling, KC
128, WR, Tyler Boyd, CIN
129, WR, DJ Chark, DET
130, WR, Michael Gallup, DAL
131, WR, Skyy Moore, KC
132, RB, Nyheim Hines, IND
133, RB, Ken Walker III, SEA
134, RB, James Cook, BUF
135, RB, Raheem Mostert, MIA
136, TE, Dawson Knox, BUF
137, TE, Hunter Henry, NE
138, TE, Mike Gesicki, MIA
139, WR, Treylon Burks, TEN
140, WR, Jahan Dotson, WAS
141, WR, Jarvis Landry, NO
142, WR, Josh Palmer, LAC
143, WR, Robbie Anderson, CAR
144, WR, Marvin Jones Jr., JAC
145, WR, DeVante Parker, NE
146, TE, Noah Fant, SEA
147, TE, Irv Smith Jr., MIN
148, TE, David Njoku, CLE
149, QB, Baker Mayfield, CAR
150, TE, Tyler Higbee, LAR
151, RB, Brian Robinson Jr., WAS
152, RB, J.D. McKissic, WAS
153, RB, Kenneth Gainwell, PHI
154, RB, Darrell Henderson Jr., LAR
155, RB, Alexander Mattison, MIN
156, RB, Jamaal Williams, DET
157, RB, Khalil Herbert, CHI
158, WR, Kenny Golladay, NYG
159, WR, Jalen Tolbert, DAL
160, WR, George Pickens, PIT
161, WR, Rondale Moore, ARI
162, WR, Nico Collins, HOU
163, WR, Wan'Dale Robinson, NYG
164, TE, Evan Engram, JAC
165, QB, Davis Mills, HOU
166, QB, Marcus Mariota, ATL
