OverallPick,Round,PickInRound,Player,NFLTeam,Position,FantasyTeam
1,1,1,Josh Allen,Buf,QB,Purple Reign
2,1,2,Justin Jefferson,Min,WR,Nordick Bishops
3,1,3,Saquon Barkley,Phi,RB,(north) Korean Fried Chicken
4,1,4,Christian McCaffrey,SF,RB,FAUGENDAZ
5,1,5,Lamar Jackson,Bal,QB,🏈🚌 Magic Skol Bus
6,1,6,Bijan Robinson,Atl,RB,Think Tank
7,1,7,Jayden Daniels,Wsh,QB,Clint Billton
8,1,8,Ja'Marr Chase,Cin,WR,"Make Loveland, Not Warren"
9,2,1,CeeDee Lamb,Dal,WR,"Make Loveland, Not Warren"
10,2,2,Patrick Mahomes,KC,QB,Clint Billton
11,2,3,Jahmyr Gibbs,Det,RB,Think Tank
12,2,4,Puka Nacua,LAR,WR,🏈🚌 Magic Skol Bus
13,2,5,Zach Charbonnet,Sea,RB,FAUGENDAZ
14,2,6,C.J. Stroud,Hou,QB,(north) Korean Fried Chicken
15,2,7,Jordan Love,GB,QB,Nordick Bishops
16,2,8,Jalen Hurts,Phi,QB,Purple Reign
17,3,1,Malik Nabers,NYG,WR,Purple Reign
18,3,2,Tahj Brooks,Cin,RB,Nordick Bishops
19,3,3,Derrick Henry,Bal,RB,(north) Korean Fried Chicken
20,3,4,Bo Nix,Den,QB,FAUGENDAZ
21,3,5,Amon-Ra St. Brown,Det,WR,🏈🚌 Magic Skol Bus
22,3,6,Joe Burrow,Cin,QB,Think Tank
23,3,7,Marvin Harrison Jr.,Ari,WR,Clint Billton
24,3,8,Bucky Irving,TB,RB,"Make Loveland, Not Warren"
25,4,1,Caleb Williams,Chi,QB,"Make Loveland, Not Warren"
26,4,2,Drake London,Atl,WR,Clint Billton
27,4,3,Brian Thomas Jr.,Jax,WR,Think Tank
28,4,4,Ashton Jeanty,LV,RB,🏈🚌 Magic Skol Bus
29,4,5,Christian Kirk,Hou,WR,FAUGENDAZ
30,4,6,Sam Darnold,Sea,QB,(north) Korean Fried Chicken
31,4,7,Jaylen Warren,Pit,RB,Nordick Bishops
32,4,8,Breece Hall,NYJ,RB,Purple Reign
33,5,1,Josh Jacobs,GB,RB,Purple Reign
34,5,2,Amari Cooper,LV,WR,Nordick Bishops
35,5,3,DeVonta Smith,Phi,WR,(north) Korean Fried Chicken
36,5,4,Tyler Lockett,Ten,WR,FAUGENDAZ
37,5,5,De'Von Achane,Mia,RB,🏈🚌 Magic Skol Bus
38,5,6,Brock Bowers,LV,TE,Think Tank
39,5,7,Jonathan Taylor,Ind,RB,Clint Billton
40,5,8,Trey McBride,Ari,TE,"Make Loveland, Not Warren"
41,6,1,James Cook,Buf,RB,"Make Loveland, Not Warren"
42,6,2,Mike Evans,TB,WR,Clint Billton
43,6,3,A.J. Brown,Phi,WR,Think Tank
44,6,4,Joe Mixon,Hou,RB,🏈🚌 Magic Skol Bus
45,6,5,Travis Kelce,KC,TE,FAUGENDAZ
46,6,6,Sam LaPorta,Det,TE,(north) Korean Fried Chicken
47,6,7,Pat Freiermuth,Pit,TE,Nordick Bishops
