Rank,Pos,PositionalRank,Player,Team,Salary,Bye
1,QB,1,Josh Allen,BUF,59,7
2,QB,2,Lamar Jackson,BAL,58,7
3,QB,3,Jayden Daniels,WAS,58,12
4,QB,4,Jalen Hurts,PHI,57,9
5,QB,5,Joe Burrow,CIN,57,10
6,WR,1,Ja'Marr Chase,CIN,55,10
7,RB,1,Bijan Robinson,ATL,53,5
8,WR,2,Justin Jefferson,MIN,51,6
9,RB,2,Saquon Barkley,PHI,49,9
10,RB,3,Jahmyr Gibbs,DET,48,8
11,WR,3,CeeDee Lamb,DAL,46,10
12,RB,4,Christian McCaffrey,SF,44,14
13,WR,4,Malik Nabers,NYG,43,14
14,WR,5,Puka Nacua,LAR,42,8
15,WR,6,Amon-Ra St. Brown,DET,41,8
16,RB,5,Ashton Jeanty,LV,40,8
17,QB,6,Patrick Mahomes,KC,38,10
18,RB,6,De'Von Achane,MIA,37,12
19,WR,7,Nico Collins,HOU,36,6
20,QB,7,Baker Mayfield,TB,35,9
21,QB,8,Bo Nix,DEN,34,12
22,QB,9,Kyler Murray,ARI,33,8
23,QB,10,Brock Purdy,SF,32,14
24,WR,8,Brian Thomas Jr.,JAC,32,8
25,WR,9,A.J. Brown,PHI,31,9
26,WR,10,Drake London,ATL,30,5
27,RB,7,Jonathan Taylor,IND,30,11
28,RB,8,Josh Jacobs,GB,29,5
29,QB,11,Justin Herbert,LAC,28,12
30,QB,12,Caleb Williams,CHI,26,5
31,RB,9,Derrick Henry,BAL,26,7
32,TE,1,Brock Bowers,LV,25,8
33,TE,2,Trey McBride,ARI,24,8
34,RB,10,Bucky Irving,TB,23,9
35,RB,11,Chase Brown,CIN,22,10
36,WR,11,Tee Higgins,CIN,22,10
37,QB,13,Drake Maye,NE,22,14
38,WR,12,Tyreek Hill,MIA,21,12
39,WR,13,Ladd McConkey,LAC,21,12
40,WR,14,Davante Adams,LAR,20,8
41,RB,12,Kyren Williams,LAR,19,8
42,RB,13,James Cook,BUF,19,7
43,WR,15,Jaxon Smith-Njigba,SEA,18,8
44,WR,16,Terry McLaurin,WAS,17,12
45,WR,17,Garrett Wilson,NYJ,17,9
46,QB,14,Dak Prescott,DAL,15,10
47,QB,15,Justin Fields,NYJ,15,9
48,RB,14,Omarion Hampton,LAC,14,12
49,RB,15,Alvin Kamara,NO,13,11
50,TE,3,George Kittle,SF,13,14
51,RB,16,Chuba Hubbard,CAR,12,14
52,RB,17,James Conner,ARI,11,8
53,RB,18,TreVeyon Henderson,NE,11,14
54,RB,19,Kenneth Walker III,SEA,10,8
55,RB,20,Breece Hall,NYJ,10,9
56,WR,18,Marvin Harrison Jr.,ARI,10,8
57,WR,19,DK Metcalf,PIT,10,5
58,WR,20,Tetairoa McMillan,CAR,9,14
59,WR,21,Xavier Worthy,KC,9,10
60,QB,16,Jordan Love,GB,9,5
