"OverallPick","Round","PickInRound","Player","NFLTeam","Position","FantasyTeam"
1,1,1,"Jahmyr Gibbs","DET","RB","Flames"
2,1,2,"Bijan Robinson","ATL","RB","Clint Bilton"
3,1,3,"Saquon Barkley","PHI","RB","NKFL"
4,1,4,"Puka Nacua","LAR","WR","Fauxgendaz"
5,1,5,"Josh Allen","BUF","QB","Purple Rain"
6,1,6,"Christian McCaffrey","SF","RB","Rome Reigns"
7,1,7,"Jayden Daniels","WAS","QB","Magic Skol Bus"
8,1,8,"James Cook III","BUF","RB","Think Tank"
9,2,1,"Jonathan Taylor","IND","RB","Think Tank"
10,2,2,"Lamar Jackson","BAL","QB","Magic Skol Bus"
11,2,3,"Ja'Marr Chase","CIN","WR","Rome Reigns"
12,2,4,"Justin Jefferson","MIN","WR","Purple Rain"
13,2,5,"De'Von Achane","MIA","RB","Fauxgendaz"
14,2,6,"Drake Maye","NE","QB","NKFL"
15,2,7,"Jaxon Smith-Njigba","SEA","WR","Clint Bilton"
16,2,8,"Kyler Murray","MIN","QB","Flames"
17,3,1,"Najee Harris","NYG","RB","Flames"
18,3,2,"Ladd McConkey","LAC","WR","Clint Bilton"
19,3,3,"Kenneth Walker III","KC","RB","NKFL"
20,3,4,"Dak Prescott","DAL","QB","Fauxgendaz"
21,3,5,"Jalen Hurts","PHI","QB","Purple Rain"
22,3,6,"Amon-Ra St. Brown","DET","WR","Rome Reigns"
23,3,7,"CeeDee Lamb","DAL","WR","Magic Skol Bus"
24,3,8,"George Pickens","DAL","WR","Think Tank"
25,4,1,"Tee Higgins","CIN","WR","Think Tank"
26,4,2,"Drake London","ATL","WR","Magic Skol Bus"
27,4,3,"Omarion Hampton","LAC","RB","Rome Reigns"
28,4,4,"A.J. Brown","NE","WR","Purple Rain"
29,4,5,"Terry McLaurin","WAS","WR","Fauxgendaz"
30,4,6,"Colston Loveland","CHI","TE","NKFL"
31,4,7,"Derrick Henry","BAL","RB","Clint Bilton"
32,4,8,"Nico Collins","HOU","WR","Flames"
33,5,1,"Jaylen Wright","MIA","RB","Flames"
34,5,2,"Joe Burrow","CIN","QB","Clint Bilton"
35,5,3,"Sam Darnold","SEA","QB","NKFL"
36,5,4,"Chuba Hubbard","CAR","RB","Fauxgendaz"
37,5,5,"Quinshon Judkins","CLE","RB","Purple Rain"
38,5,6,"Brock Bowers","LV","TE","Rome Reigns"
39,5,7,"Trey McBride","ARI","TE","Magic Skol Bus"
40,5,8,"Kyren Williams","LAR","RB","Think Tank"
41,6,1,"Chase Brown","CIN","RB","Think Tank"
42,6,2,"Ashton Jeanty","LV","RB","Magic Skol Bus"
43,6,3,"Caleb Williams","CHI","QB","Rome Reigns"
44,6,4,"Tetairoa McMillan","CAR","WR","Purple Rain"
45,6,5,"Cam Skattebo","NYG","RB","Fauxgendaz"
46,6,6,"Emeka Egbuka","TB","WR","NKFL"
47,6,7,"Trevor Lawrence","JAC","QB","Clint Bilton"
48,6,8,"DK Metcalf","PIT","WR","Flames"
49,7,1,"Breece Hall","NYJ","RB","Flames"
50,7,2,"Tucker Kraft","GB","TE","Clint Bilton"
51,7,3,"Rome Odunze","CHI","WR","NKFL"
52,7,4,"Bo Nix","DEN","QB","Fauxgendaz"
53,7,5,"Bucky Irving","TB","RB","Purple Rain"
54,7,6,"Malik Nabers","NYG","WR","Rome Reigns"
55,7,7,"Rashee Rice","KC","WR","Magic Skol Bus"
56,7,8,"Brock Purdy","SF","QB","Think Tank"
57,8,1,"DJ Moore","BUF","WR","Think Tank"
58,8,2,"Jaxson Dart","NYG","QB","Magic Skol Bus"
59,8,3,"Chris Olave","NO","WR","Rome Reigns"
