Round,Flames,Clint Bilton,NKFL,Fauxgendaz,Purple Rain,Rome Reigns,Magic Skol Bus,Think Tank
1,RB - Jahmyr Gibbs,RB - Bijan Robinson,RB - Saquon Barkley,WR - Puka Nacua,QB - Josh Allen,RB - Christian McCaffrey,QB - Jayden Daniels,RB - James Cook
2,QB - Kyler Murray,WR - Jaxon Smith-Njigba,QB - Drake Maye,RB - De'Von Achane,WR - Justin Jefferson,WR - Ja'Marr Chase,QB - Lamar Jackson,RB - Jonathan Taylor
3,RB - Najee Harris,WR - Ladd McConkey,RB - Kenneth Walker,QB - Dak Prescott,QB - Jalen Hurts,WR - Amon-Ra St. Brown,WR - CeeDee Lamb,WR - George Pickens
4,WR - Nico Collins,RB - Derrick Henry,TE - Colston Loveland,WR - Terry McLaurin,WR - A.J. Brown,RB - Omarion Hampton,WR - Drake London,WR - Tee Higgins
5,RB - Jaylen Wright,QB - Joe Burrow,QB - Sam Darnold,RB - Chuba Hubbard,RB - Quinshon Judkins,TE - Brock Bowers,TE - Trey McBride,RB - Kyren Williams
6,WR - DK Metcalf,QB - Trevor Lawrence,WR - Emeka Egbuka,RB - Cam Skattebo,WR - Tetairoa McMillan,QB - Caleb Williams,RB - Ashton Jeanty,RB - Chase Brown
7,RB - Breece Hall,TE - Tucker Kraft,WR - Rome Odunze,QB - Bo Nix,RB - Bucky Irving,WR - Malik Nabers,WR - Rashee Rice,QB - Brock Purdy
8,TE - Travis Kelce,WR - Zay Flowers,WR - DeVonta Smith,TE - Sam LaPorta,RB - Tony Pollard,WR - Chris Olave,QB - Jaxson Dart,WR - DJ Moore
9,QB - Tyler Shough,QB - C.J. Stroud,WR - Mike Evans,WR - Deebo Samuel,WR - Marvin Harrison,RB - Jeremiyah Love,RB - D'Andre Swift,TE - Tyler Warren
10,WR - Cooper Kupp,RB - TreVeyon Henderson,RB - David Montgomery,WR - Odell Beckham Jr.,QB - Justin Herbert,WR - Luther Burden,RB - Isiah Pacheco,QB - Matthew Stafford
11,WR - Davante Adams,WR - Travis Hunter,RB - Aaron Jones,RB - Trevor Etienne,RB - Javonte Williams,RB - Jadarian Price,RB - Josh Jacobs,QB - Patrick Mahomes
12,QB - Jared Goff,WR - Jordan Addison,RB - Zach Charbonnet,WR - Makai Lemon,WR - Courtland Sutton,QB - Baker Mayfield,TE - T.J. Hockenson,WR - Garrett Wilson
13,WR - De'Zhaun Stribling,TE - Mark Andrews,TE - AJ Barner,RB - Tank Bigsby,RB - Bhayshul Tuten,TE - Kyle Pitts,RB - Kyle Monangai,RB - Kenneth Gainwell
14,WR - Dontayvion Wicks,WR - Matthew Golden,WR - Quentin Johnston,TE - David Njoku,TE - Harold Fannin,WR - Brian Thomas,WR - Jakobi Meyers,WR - Chris Godwin
15,K - Harrison Butker,DEF - Houston Texans,DEF - Baltimore Ravens,DEF - Denver Broncos,DEF - Seattle Seahawks,DEF - Minnesota Vikings,K - Evan McPherson,DEF - New England Patriots
16,DEF - Chicago Bears,K - Will Reichard,K - Trey Smack,K - Tyler Bass,K - Cameron Dicker,K - Brandon Aubrey,DEF - Pittsburgh Steelers,K - Ka'imi Fairbairn
