"Round","Team","TeamSlot","PickInRound","PickNumber","RawLabel","Player","Position","CanonicalPlayer","MatchMethod","MatchReason","MatchStatus","Rank","PositionRank","NFLTeam","SalaryValue","Bye","Ranked","RankFloor","Surplus","SurplusFloor","LegacyScore"
1,"Flames",1,1,1,"RB - Jahmyr Gibbs","Jahmyr Gibbs","RB","Jahmyr Gibbs","exact","Exact name and position match.","ranked",4,1,"DET",57,6,TRUE,4,-3,-3,3
1,"Clint Bilton",2,2,2,"RB - Bijan Robinson","Bijan Robinson","RB","Bijan Robinson","exact","Exact name and position match.","ranked",5,2,"ATL",57,11,TRUE,5,-3,-3,3
1,"NKFL",3,3,3,"RB - Saquon Barkley","Saquon Barkley","RB","Saquon Barkley","exact","Exact name and position match.","ranked",28,8,"PHI",29,10,TRUE,28,-25,-25,25
1,"Fauxgendaz",4,4,4,"WR - Puka Nacua","Puka Nacua","WR","Puka Nacua","exact","Exact name and position match.","ranked",7,2,"LAR",53,11,TRUE,7,-3,-3,3
1,"Purple Rain",5,5,5,"QB - Josh Allen","Josh Allen","QB","Josh Allen","exact","Exact name and position match.","ranked",1,1,"BUF",59,7,TRUE,1,4,4,-4
1,"Rome Reigns",6,6,6,"RB - Christian McCaffrey","Christian McCaffrey","RB","Christian McCaffrey","exact","Exact name and position match.","ranked",9,3,"SF",49,8,TRUE,9,-3,-3,3
1,"Magic Skol Bus",7,7,7,"QB - Jayden Daniels","Jayden Daniels","QB","Jayden Daniels","exact","Exact name and position match.","ranked",2,2,"WAS",58,7,TRUE,2,5,5,-5
1,"Think Tank",8,8,8,"RB - James Cook","James Cook","RB","James Cook III","alias","Board omits the source's generational suffix III.","ranked",18,6,"BUF",37,7,TRUE,18,-10,-10,10
2,"Think Tank",8,1,9,"RB - Jonathan Taylor","Jonathan Taylor","RB","Jonathan Taylor","exact","Exact name and position match.","ranked",12,4,"IND",44,13,TRUE,12,-3,-3,3
2,"Magic Skol Bus",7,2,10,"QB - Lamar Jackson","Lamar Jackson","QB","Lamar Jackson","exact","Exact name and position match.","ranked",3,3,"BAL",58,13,TRUE,3,7,7,-7
2,"Rome Reigns",6,3,11,"WR - Ja'Marr Chase","Ja'Marr Chase","WR","Ja'Marr Chase","exact","Exact name and position match.","ranked",6,1,"CIN",55,6,TRUE,6,5,5,-5
2,"Purple Rain",5,4,12,"WR - Justin Jefferson","Justin Jefferson","WR","Justin Jefferson","exact","Exact name and position match.","ranked",19,6,"MIN",36,6,TRUE,19,-7,-7,7
2,"Fauxgendaz",4,5,13,"RB - De'Von Achane","De'Von Achane","RB","De'Von Achane","exact","Exact name and position match.","ranked",15,5,"MIA",41,6,TRUE,15,-2,-2,2
2,"NKFL",3,6,14,"QB - Drake Maye","Drake Maye","QB","Drake Maye","exact","Exact name and position match.","ranked",10,4,"NE",48,11,TRUE,10,4,4,-4
2,"Clint Bilton",2,7,15,"WR - Jaxon Smith-Njigba","Jaxon Smith-Njigba","WR","Jaxon Smith-Njigba","exact","Exact name and position match.","ranked",8,3,"SEA",51,11,TRUE,8,7,7,-7
2,"Flames",1,8,16,"QB - Kyler Murray","Kyler Murray","QB","Kyler Murray","exact","Exact name and position match.","ranked",60,16,"MIN",9,6,TRUE,60,-44,-44,44
3,"Flames",1,1,17,"RB - Najee Harris","Najee Harris","RB","Najee Harris","exact","Exact name and position match.","ranked",199,56,"NYG",0,8,TRUE,199,-182,-182,182
3,"Clint Bilton",2,2,18,"WR - Ladd McConkey","Ladd McConkey","WR","Ladd McConkey","exact","Exact name and position match.","ranked",54,20,"LAC",10,7,TRUE,54,-36,-36,36
3,"NKFL",3,3,19,"RB - Kenneth Walker","Kenneth Walker","RB","Kenneth Walker III","alias","Board omits the source's generational suffix III.","ranked",31,11,"KC",26,5,TRUE,31,-12,-12,12
3,"Fauxgendaz",4,4,20,"QB - Dak Prescott","Dak Prescott","QB","Dak Prescott","exact","Exact name and position match.","ranked",26,9,"DAL",30,14,TRUE,26,-6,-6,6
3,"Purple Rain",5,5,21,"QB - Jalen Hurts","Jalen Hurts","QB","Jalen Hurts","exact","Exact name and position match.","ranked",11,5,"PHI",46,10,TRUE,11,10,10,-10
3,"Rome Reigns",6,6,22,"WR - Amon-Ra St. Brown","Amon-Ra St. Brown","WR","Amon-Ra St. Brown","exact","Exact name and position match.","ranked",13,4,"DET",43,6,TRUE,13,9,9,-9
