"Rank","CanonicalPlayer","Position","PositionRank","NFLTeam","SalaryValue","Bye"
1,"Josh Allen","QB",1,"BUF",59,7
2,"Jayden Daniels","QB",2,"WAS",58,7
3,"Lamar Jackson","QB",3,"BAL",58,13
4,"Jahmyr Gibbs","RB",1,"DET",57,6
5,"Bijan Robinson","RB",2,"ATL",57,11
6,"Ja'Marr Chase","WR",1,"CIN",55,6
7,"Puka Nacua","WR",2,"LAR",53,11
8,"Jaxon Smith-Njigba","WR",3,"SEA",51,11
9,"Christian McCaffrey","RB",3,"SF",49,8
10,"Drake Maye","QB",4,"NE",48,11
11,"Jalen Hurts","QB",5,"PHI",46,10
12,"Jonathan Taylor","RB",4,"IND",44,13
13,"Amon-Ra St. Brown","WR",4,"DET",43,6
14,"CeeDee Lamb","WR",5,"DAL",42,14
15,"De'Von Achane","RB",5,"MIA",41,6
16,"Joe Burrow","QB",6,"CIN",40,6
17,"Jaxson Dart","QB",7,"NYG",38,8
18,"James Cook III","RB",6,"BUF",37,7
19,"Justin Jefferson","WR",6,"MIN",36,6
20,"Drake London","WR",7,"ATL",35,11
21,"Trey McBride","TE",1,"ARI",34,14
22,"Jeremiyah Love","RB",7,"ARI",33,14
23,"Rashee Rice","WR",8,"KC",32,5
24,"Nico Collins","WR",9,"HOU",32,8
25,"Trevor Lawrence","QB",8,"JAC",31,7
26,"Dak Prescott","QB",9,"DAL",30,14
27,"Bo Nix","QB",10,"DEN",30,10
28,"Saquon Barkley","RB",8,"PHI",29,10
29,"Derrick Henry","RB",9,"BAL",28,13
30,"Ashton Jeanty","RB",10,"LV",26,13
31,"Kenneth Walker III","RB",11,"KC",26,5
32,"Brock Bowers","TE",2,"LV",25,13
33,"Brock Purdy","QB",11,"SF",24,8
34,"Matthew Stafford","QB",12,"LAR",23,11
35,"A.J. Brown","WR",10,"NE",22,11
36,"Chris Olave","WR",11,"NO",22,8
37,"Malik Nabers","WR",12,"NYG",22,8
38,"Caleb Williams","QB",13,"CHI",21,10
39,"Justin Herbert","QB",14,"LAC",21,7
40,"Chase Brown","RB",12,"CIN",20,6
41,"Omarion Hampton","RB",13,"LAC",19,7
42,"Breece Hall","RB",14,"NYJ",19,13
43,"Javonte Williams","RB",15,"DAL",18,14
44,"Patrick Mahomes","QB",15,"KC",17,5
45,"Travis Etienne Jr.","RB",16,"NO",17,8
46,"Kyren Williams","RB",17,"LAR",15,11
47,"Garrett Wilson","WR",13,"NYJ",15,13
48,"George Pickens","WR",14,"DAL",14,14
49,"Zay Flowers","WR",15,"BAL",13,13
50,"Tetairoa McMillan","WR",16,"CAR",13,5
51,"DeVonta Smith","WR",17,"PHI",12,10
52,"Emeka Egbuka","WR",18,"TB",11,10
53,"Davante Adams","WR",19,"LAR",11,11
54,"Ladd McConkey","WR",20,"LAC",10,7
55,"Terry McLaurin","WR",21,"WAS",10,7
56,"Quinshon Judkins","RB",18,"CLE",10,11
57,"Cam Skattebo","RB",19,"NYG",10,8
58,"Bucky Irving","RB",20,"TB",9,10
59,"D'Andre Swift","RB",21,"CHI",9,10
60,"Kyler Murray","QB",16,"MIN",9,6
61,"Tyler Shough","QB",17,"NO",8,8
62,"Colston Loveland","TE",3,"CHI",8,10
63,"Tyler Warren","TE",4,"IND",8,13
64,"Tee Higgins","WR",22,"CIN",7,6
65,"Jaylen Waddle","WR",23,"DEN",7,10
66,"Rome Odunze","WR",24,"CHI",7,10
67,"Jameson Williams","WR",25,"DET",7,6
68,"DJ Moore","WR",26,"BUF",6,7
69,"Luther Burden III","WR",27,"CHI",6,10
70,"Bhayshul Tuten","RB",22,"JAC",6,7
71,"David Montgomery","RB",23,"HOU",6,8
72,"Jadarian Price","RB",24,"SEA",6,11
73,"Rhamondre Stevenson","RB",25,"NE",6,11
74,"Kyle Pitts Sr.","TE",5,"ATL",5,11
75,"Harold Fannin Jr.","TE",6,"CLE",5,11
76,"Sam LaPorta","TE",7,"DET",5,6
77,"Jaylen Warren","RB",26,"PIT",5,9
78,"Carnell Tate","WR",28,"TEN",4,9
79,"Jared Goff","QB",18,"DET",4,6
80,"Daniel Jones","QB",19,"IND",4,13
81,"Baker Mayfield","QB",20,"TB",4,10
82,"Courtland Sutton","WR",29,"DEN",4,10
83,"Michael Pittman Jr.","WR",30,"PIT",4,9
84,"Marvin Harrison Jr.","WR",31,"ARI",4,14
85,"DK Metcalf","WR",32,"PIT",4,9
86,"Parker Washington","WR",33,"JAC",4,7
87,"Alec Pierce","WR",34,"IND",3,13
88,"Rico Dowdle","RB",27,"PIT",3,9
89,"Jonathon Brooks","RB",28,"CAR",3,5
90,"TreVeyon Henderson","RB",29,"NE",3,11
91,"Christian Watson","WR",35,"GB",3,11
92,"Mike Evans","WR",36,"SF",3,8
93,"Matthew Golden","WR",37,"GB",3,11
94,"Brian Thomas Jr.","WR",38,"JAC",3,7
95,"Tony Pollard","RB",30,"TEN",3,9
96,"Kenny Gainwell","RB",31,"TB",2,10
97,"Chuba Hubbard","RB",32,"CAR",2,5
98,"J.K. Dobbins","RB",33,"DEN",2,10
99,"Michael Wilson","WR",39,"ARI",2,14
100,"Jakobi Meyers","WR",40,"JAC",2,7
101,"George Kittle","TE",8,"SF",2,8
102,"Tucker Kraft","TE",9,"GB",2,11
103,"Wan'Dale Robinson","WR",41,"TEN",2,9
104,"Malik Willis","QB",21,"MIA",2,6
105,"Jordan Love","QB",22,"GB",2,11
106,"C.J. Stroud","QB",23,"HOU",2,8
107,"Sam Darnold","QB",24,"SEA",2,11
108,"Jordan Addison","WR",42,"MIN",2,6
