"PickNumber","Round","Team","RawLabel","Player","Position","CanonicalPlayer","MatchMethod","MatchStatus","Rank","MatchReason"
1,1,"Flames","RB - Jahmyr Gibbs","Jahmyr Gibbs","RB","Jahmyr Gibbs","exact","ranked",4,"Exact name and position match."
2,1,"Clint Bilton","RB - Bijan Robinson","Bijan Robinson","RB","Bijan Robinson","exact","ranked",5,"Exact name and position match."
3,1,"NKFL","RB - Saquon Barkley","Saquon Barkley","RB","Saquon Barkley","exact","ranked",28,"Exact name and position match."
4,1,"Fauxgendaz","WR - Puka Nacua","Puka Nacua","WR","Puka Nacua","exact","ranked",7,"Exact name and position match."
5,1,"Purple Rain","QB - Josh Allen","Josh Allen","QB","Josh Allen","exact","ranked",1,"Exact name and position match."
6,1,"Rome Reigns","RB - Christian McCaffrey","Christian McCaffrey","RB","Christian McCaffrey","exact","ranked",9,"Exact name and position match."
7,1,"Magic Skol Bus","QB - Jayden Daniels","Jayden Daniels","QB","Jayden Daniels","exact","ranked",2,"Exact name and position match."
8,1,"Think Tank","RB - James Cook","James Cook","RB","James Cook III","alias","ranked",18,"Board omits the source's generational suffix III."
9,2,"Think Tank","RB - Jonathan Taylor","Jonathan Taylor","RB","Jonathan Taylor","exact","ranked",12,"Exact name and position match."
10,2,"Magic Skol Bus","QB - Lamar Jackson","Lamar Jackson","QB","Lamar Jackson","exact","ranked",3,"Exact name and position match."
11,2,"Rome Reigns","WR - Ja'Marr Chase","Ja'Marr Chase","WR","Ja'Marr Chase","exact","ranked",6,"Exact name and position match."
12,2,"Purple Rain","WR - Justin Jefferson","Justin Jefferson","WR","Justin Jefferson","exact","ranked",19,"Exact name and position match."
13,2,"Fauxgendaz","RB - De'Von Achane","De'Von Achane","RB","De'Von Achane","exact","ranked",15,"Exact name and position match."
14,2,"NKFL","QB - Drake Maye","Drake Maye","QB","Drake Maye","exact","ranked",10,"Exact name and position match."
15,2,"Clint Bilton","WR - Jaxon Smith-Njigba","Jaxon Smith-Njigba","WR","Jaxon Smith-Njigba","exact","ranked",8,"Exact name and position match."
