"Rank","CanonicalPlayer","Position","PositionRank","NFLTeam","SalaryValue","Bye"
65,"Jaylen Waddle","WR",23,"DEN",7,10
67,"Jameson Williams","WR",25,"DET",7,6
73,"Rhamondre Stevenson","RB",25,"NE",6,11
77,"Jaylen Warren","RB",26,"PIT",5,9
78,"Carnell Tate","WR",28,"TEN",4,9
80,"Daniel Jones","QB",19,"IND",4,13
83,"Michael Pittman Jr.","WR",30,"PIT",4,9
86,"Parker Washington","WR",33,"JAC",4,7
87,"Alec Pierce","WR",34,"IND",3,13
88,"Rico Dowdle","RB",27,"PIT",3,9
89,"Jonathon Brooks","RB",28,"CAR",3,5
91,"Christian Watson","WR",35,"GB",3,11
98,"J.K. Dobbins","RB",33,"DEN",2,10
99,"Michael Wilson","WR",39,"ARI",2,14
101,"George Kittle","TE",8,"SF",2,8
103,"Wan'Dale Robinson","WR",41,"TEN",2,9
104,"Malik Willis","QB",21,"MIA",2,6
105,"Jordan Love","QB",22,"GB",2,11
110,"Khalil Shakir","WR",44,"BUF",2,7
111,"Jayden Reed","WR",45,"GB",2,11
112,"Dallas Goedert","TE",10,"PHI",2,10
114,"Jake Ferguson","TE",12,"DAL",2,14
116,"Isaiah Likely","TE",14,"NYG",2,8
117,"Bryce Young","QB",25,"CAR",2,5
118,"Cam Ward","QB",26,"TEN",2,9
119,"Jacoby Brissett","QB",27,"ARI",2,14
120,"Xavier Worthy","WR",46,"KC",2,5
122,"Stefon Diggs","WR",48,"WAS",1,7
124,"MarShawn Lloyd","RB",35,"GB",1,11
126,"Jacory Croskey-Merritt","RB",37,"WAS",1,7
128,"Dalton Kincaid","TE",15,"BUF",1,7
130,"Hunter Henry","TE",17,"NE",1,11
131,"Terrance Ferguson","TE",18,"LAR",1,11
132,"Rachaad White","RB",39,"WAS",1,7
133,"Jordan Mason","RB",40,"MIN",1,6
134,"Blake Corum","RB",41,"LAR",1,11
135,"RJ Harvey","RB",42,"DEN",1,10
136,"Josh Downs","WR",49,"IND",1,13
137,"KC Concepcion","WR",50,"CLE",1,11
141,"Romeo Doubs","WR",54,"NE",1,11
142,"Jalen Coker","WR",55,"CAR",1,5
143,"Rashid Shaheed","WR",56,"SEA",1,11
144,"Jalen McMillan","WR",57,"TB",1,10
145,"Woody Marks","RB",43,"HOU",1,8
147,"Tyjae Spears","RB",45,"TEN",1,9
148,"Chris Rodriguez Jr.","RB",46,"JAC",1,7
149,"Geno Smith","QB",28,"NYJ",1,13
150,"Mike Washington Jr.","RB",47,"LV",1,13
151,"Brian Robinson Jr.","RB",48,"ATL",1,11
152,"Denzel Boston","WR",58,"CLE",1,11
153,"Jerry Jeudy","WR",59,"CLE",1,11
154,"Calvin Ridley","WR",60,"TEN",1,9
155,"Adonai Mitchell","WR",61,"NYJ",1,13
157,"Caleb Douglas","WR",63,"MIA",1,6
158,"Jordyn Tyson","WR",64,"NO",1,8
159,"Tre Tucker","WR",65,"LV",1,13
160,"Jalen Nailor","WR",66,"LV",1,13
161,"Tyler Allgeier","RB",49,"ARI",0,14
162,"Keaton Mitchell","RB",50,"LAC",0,7
163,"Jonah Coleman","RB",51,"DEN",0,10
